#sigma_C12_B10
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5.86841 12.4236 24.7941 30.3554 29.9199 26.7008 23.0586 19.6442 18.9892 18.3343 17.6793 17.4066 17.2672 17.2 17.2 17.2 17.2 17.6599 18.3023 18.9448 18.1946 17.3134 16.4323 15.5511 14.6699 13.7888 12.9076 12.3 12.3 12.3 12.3 12.3 12.3 12.3 12.3 12.3 12.3 12.3 12.3 12.3 12.3 12.3 12.3 12.3 12.3 12.3 12.3 12.3 12.3 12.3 12.3 12.3 12.3 12.3 12.3 12.3 12.3 12.3 12.3 12.3 12.3 12.3 12.3 12.3 12.3 12.3 12.3 12.3 12.3 12.3 12.3 12.3 12.3 12.3 12.3 12.3 12.3 12.3 12.3 12.3 12.3 12.3 12.3 12.3 12.3 12.3 12.3 12.3 12.3 12.3 12.3 12.3 12.3 12.3 12.3 12.3 
#sigma_C12_B11
0 0 0 0 0 0 0 0 0 0.343591 2.33507 4.32654 6.31802 8.30949 10.301 11.8952 11.1813 10.4675 10 10 10.5107 11.5331 13.0003 14.8415 16.6828 18.524 21.6573 25.2411 28.8249 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 
#sigma_N14_B10
0 0 0 0 0 0 0 0 0 0 0 0 35.7005 56.9938 60.7669 52.0549 38.0545 25.0527 16.4101 12.3631 11.3117 11.4546 11.7259 11.8161 11.7661 11.6583 11.5302 11.3926 11.2497 11.1058 10.9662 10.8366 10.7224 10.6277 10.555 10.5038 10.4715 10.4535 10.4449 10.4414 10.4403 10.4401 10.44 10.44 10.44 10.44 10.44 10.44 10.44 10.44 10.44 10.44 10.44 10.44 10.44 10.44 10.44 10.44 10.44 10.44 10.44 10.44 10.44 10.44 10.44 10.44 10.44 10.44 10.44 10.44 10.44 10.44 10.44 10.44 10.44 10.44 10.44 10.44 10.44 10.44 10.44 10.44 10.44 10.44 10.44 10.44 10.44 10.44 10.44 10.44 10.44 10.44 10.44 10.44 10.44 10.44 10.44 10.44 10.44 10.44 10.44 10.44 10.44 10.44 10.44 10.44 10.44 10.44 10.44 10.44 10.44 
#sigma_N14_B11
0 0 0 0 0 0 66.8543 100.939 116.658 115.115 100.686 79.3989 57.2764 38.9565 26.8908 21.2583 20.5422 22.5021 25.1309 27.2298 28.4565 28.9974 29.1739 29.2141 29.2197 29.22 29.22 29.22 29.22 29.22 29.22 29.22 29.22 29.22 29.22 29.22 29.22 29.22 29.22 29.22 29.22 29.22 29.22 29.22 29.22 29.22 29.22 29.22 29.22 29.22 29.22 29.22 29.22 29.22 29.22 29.22 29.22 29.22 29.22 29.22 29.22 29.22 29.22 29.22 29.22 29.22 29.22 29.22 29.22 29.22 29.22 29.22 29.22 29.22 29.22 29.22 29.22 29.22 29.22 29.22 29.22 29.22 29.22 29.22 29.22 29.22 29.22 29.22 29.22 29.22 29.22 29.22 29.22 29.22 29.22 29.22 29.22 29.22 29.22 29.22 29.22 29.22 29.22 29.22 29.22 29.22 29.22 29.22 29.22 29.22 29.22 
#sigma_N14_C12
54.5037 54.504 54.5043 54.5047 54.5052 54.5058 54.5065 54.5074 54.5084 54.5096 54.5111 54.5128 54.5148 54.5172 54.52 54.5233 54.5271 54.5315 54.5365 54.542 54.5481 54.5543 54.5603 54.5651 54.5673 54.5645 54.5527 54.5262 54.4767 54.3934 54.2649 54.0832 53.8519 53.5942 53.3486 53.145 52.9767 52.8094 52.616 52.3845 52.1068 51.7735 51.5057 51.5057 51.5057 51.5057 51.5057 51.5057 51.5057 51.5057 51.5057 51.5057 51.5057 51.5057 51.5057 51.5057 51.5057 51.5057 51.5057 51.5057 51.5057 51.5057 51.5057 51.5057 51.5057 51.5057 51.5057 51.5057 51.5057 51.5057 51.5057 51.5057 51.5057 51.5057 51.5057 51.5057 51.5057 51.5057 51.5057 51.5057 51.5057 51.5057 51.5057 51.5057 51.5057 51.5057 51.5057 51.5057 51.5057 51.5057 51.5057 51.5057 51.5057 51.5057 51.5057 51.5057 51.5057 51.5057 51.5057 51.5057 51.5057 51.5057 51.5057 51.5057 51.5057 51.5057 51.5057 51.5057 51.5057 51.5057 51.5057 
#sigma_N14_C13
